readcode,readterm,cat
B8283,Melanoma in situ of scalp and neck,Any malignancy
ZV10y,[V]Personal history of other specified malignant neoplasm,Any malignancy
B1512,Malignant neoplasm of intrahepatic biliary passages,Any malignancy
B18y3,Malignant neoplasm of omentum,Any malignancy
B15z.,Malignant neoplasm of liver and intrahepatic bile ducts NOS,Any malignancy
BB5f.,[M]Thyroid adenoma and adenocarcinoma,Any malignancy
B0731,Malignant neoplasm of nasopharyngeal soft palate surface,Any malignancy
BB9J.,"[M]Paget's disease, breast",Any malignancy
B6017,Lymphosarcoma of spleen,Any malignancy
BB812,"[M]Serous cystadenocarcinoma, NOS",Any malignancy
B6132,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes",Any malignancy
B10y.,Malignant neoplasm of other specified part of oesophagus,Any malignancy
B802z,Carcinoma in situ of stomach NOS,Any malignancy
B3231,Malignant melanoma of chin,Any malignancy
BBF..,[M]Soft tissue tumours and sarcomas NOS,Any malignancy
BB5c.,[M]Parathyroid adenomas and adenocarcinomas,Any malignancy
142..,H/O: malignant neoplasm (*),Any malignancy
B502.,Malignant neoplasm of lacrimal gland,Any malignancy
201 M,MALIGNANT LYMPHOGRANULOMA,Any malignancy
B3004,Malignant neoplasm of occipital bone,Any malignancy
B3501,Malignant neoplasm of areola of male breast,Any malignancy
B627G,Mediastinal (thymic) large B-cell lymphoma,Any malignancy
B82z.,Carcinoma in situ of skin NOS,Any malignancy
Byu72,[X]Malignant neoplasm/overlapping lesion/feml genital organs,Any malignancy
B10z.,Oesophageal cancer,Any malignancy
1700A,MALIGNANT NEOPLASM MAXILLA,Any malignancy
2022L,LYMPHOMA LEUKAEMIC,Any malignancy
BB9F.,[M]Lobular carcinoma NOS,Any malignancy
1739B,BASAL CELL PAPILLOMA,Any malignancy
B1z11,Fibrosarcoma of spleen,Any malignancy
B141.,Malignant neoplasm of rectum,Any malignancy
B2130,Malignant neoplasm of arytenoid cartilage,Any malignancy
B53..,Malignant neoplasm of thyroid gland,Any malignancy
B1501,Hepatoblastoma of liver,Any malignancy
B0021,"Malignant neoplasm of upper lip, frenulum",Any malignancy
B680.,Acute leukaemia NOS,Any malignancy
BB5D8,"[M]Hepatocellular carcinoma, fibrolamellar",Any malignancy
BBW9.,[M]Mesenchymal chondrosarcoma,Any malignancy
B313z,Malig neop of connective and soft tissue of thorax NOS,Any malignancy
B661.,Chronic monocytic leukaemia,Any malignancy
B1101,Malignant neoplasm of gastro-oesophageal junction,Any malignancy
BB821,[M]Mucinous adenocarcinoma,Any malignancy
B005.,Malignant neoplasm of commissure of lip,Any malignancy
B00z.,Malignant neoplasm of vermilion border of lip unspecified,Any malignancy
B182.,Overlapping malign lesion of retroperitoneum and peritoneum,Any malignancy
B8273,Carcinoma in situ of skin of lower leg,Any malignancy
BBg1.,[M]Malignant lymphoma NOS,Any malignancy
BBQ72,"[M]Teratoblastoma, malignant",Any malignancy
BBEH.,[M]Superficial spreading melanoma,Any malignancy
B692.,Subacute myelomonocytic leukaemia,Any malignancy
1899T,NEOPLASM MALIGNANT URINARY TRACT,Any malignancy
B072.,Malignant neoplasm of lateral wall of nasopharynx,Any malignancy
BB18.,"[M]Carcinoma, undifferentiated type, NOS",Any malignancy
A7897,HIV dis resulting oth types of non-Hodgkin's lymphoma,Any malignancy
ZV106,[V]Personal history of monocytic leukaemia,Any malignancy
B3088,Malignant neoplasm of first metatarsal bone,Any malignancy
B834.,Carcinoma in situ of prostate,Any malignancy
A7895,HIV disease resulting in Kaposi's sarcoma,Any malignancy
186 A,TUMOUR TESTIS SERTOLI CELL,Any malignancy
BB96.,[M]Noninfiltrating intraductal papillary adenocarcinoma,Any malignancy
ZV104,[V]Personal history of malignant neoplasm of ovary,Any malignancy
B042.,"Malignant neoplasm, overlapping lesion of floor of mouth",Any malignancy
B31y.,Malig neop connective and soft tissue other specified site,Any malignancy
B62z7,Unspec malig neop lymphoid/histiocytic of spleen,Any malignancy
1830C,CARCINOMA OVARY,Any malignancy
B83..,Carcinoma in situ of breast and genitourinary system,Any malignancy
B330.,Malignant neoplasm of skin of lip,Any malignancy
1830A,ADENOCARCINOMA UTERUS,Any malignancy
B8108,Carcinoma in situ of glottis,Any malignancy
ZV102,[V]Personal history of malignant neoplasm of middle ear,Any malignancy
B3062,Malignant neoplasm of pubis,Any malignancy
B6510,Chronic eosinophilic leukaemia,Any malignancy
188 T,TRANSITIONAL CELL CARCINOMA BLADDER,Any malignancy
BBj61,"[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity",Any malignancy
G61..,Intracerebral haemorrhage,Cerebrovascular disease
G64z.,Cerebellar infarction,Cerebrovascular disease
G680.,Sequelae of subarachnoid haemorrhage,Cerebrovascular disease
S62..,Subarachnoid haemorrhage following injury,Cerebrovascular disease
G63y0,Cerebral infarct due to thrombosis of precerebral arteries,Cerebrovascular disease
G61X0,"Left sided intracerebral haemorrhage, unspecified",Cerebrovascular disease
662M.,Stroke monitoring,Cerebrovascular disease
G6z..,Cerebrovascular disease NOS,Cerebrovascular disease
7A203,Carotid endarterectomy and patch,Cerebrovascular disease
G671.,Generalised ischaemic cerebrovascular disease NOS,Cerebrovascular disease
G62..,Other and unspecified intracranial haemorrhage,Cerebrovascular disease
G6773,Occlusion and stenosis of cerebellar arteries,Cerebrovascular disease
1JA1.,Suspected cerebrovascular disease,Cerebrovascular disease
G621.,Subdural haemorrhage - nontraumatic,Cerebrovascular disease
G6410,Cerebral infarction due to embolism of cerebral arteries,Cerebrovascular disease
1M4..,Central post-stroke pain,Cerebrovascular disease
Gyu62,[X]Other intracerebral haemorrhage,Cerebrovascular disease
G683.,Sequelae of cerebral infarction,Cerebrovascular disease
8CRB.,Transient ischaemic attack clinical management plan,Cerebrovascular disease
G64z1,Wallenberg syndrome,Cerebrovascular disease
8HHM.,Ref to multidisciplinary stroke function improvement service,Cerebrovascular disease
G67z.,Other cerebrovascular disease NOS,Cerebrovascular disease
4309M,MENINGEAL HAEMORRHAGE,Cerebrovascular disease
L440.,Cerebrovascular disorders in the puerperium,Cerebrovascular disease
G665.,Pure motor lacunar syndrome,Cerebrovascular disease
G66..,CVA unspecified,Cerebrovascular disease
Gyu6A,[X]Other cerebrovascular disorders in diseases CE,Cerebrovascular disease
G6X..,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Cerebrovascular disease
F11x2,Cerebral degeneration due to cerebrovascular disease,Cerebrovascular disease
9Om3.,Stroke/transient ischaemic attack monitoring verbal invitati,Cerebrovascular disease
G68X.,"Sequelae of stroke,not specfd as h'morrhage or infarction",Cerebrovascular disease
Gyu6E,"[X]Subarachnoid haemorrh from intracranial artery, unspecif",Cerebrovascular disease
G6760,"Cereb infarct due cerebral venous thrombosis, nonpyogenic",Cerebrovascular disease
F117.,Infantile posthaemorrhagic hydrocephalus,Cerebrovascular disease
8520M,MENINGEAL HAEMORRHAGE TRAUMATIC,Cerebrovascular disease
G63..,Precerebral arterial occlusion,Cerebrovascular disease
G661.,Anterior cerebral artery syndrome,Cerebrovascular disease
E0304,"Acute confusional state, of cerebrovascular origin",Cerebrovascular disease
14A7.,H/O: CVA/stroke,Cerebrovascular disease
G612.,Basal nucleus haemorrhage,Cerebrovascular disease
Gyu61,[X]Other subarachnoid haemorrhage,Cerebrovascular disease
G611.,Internal capsule haemorrhage,Cerebrovascular disease
9Om..,Stroke/transient ischaemic attack monitoring administration,Cerebrovascular disease
G660.,Middle cerebral artery syndrome,Cerebrovascular disease
G667.,Left sided CVA,Cerebrovascular disease
Gyu65,[X]Occlusion and stenosis of other precerebral arteries,Cerebrovascular disease
9Om2.,Stroke/transient ischaemic attack monitoring third letter,Cerebrovascular disease
G60X.,"Subarachnoid haemorrh from intracranial artery, unspecif",Cerebrovascular disease
G614.,Pontine haemorrhage,Cerebrovascular disease
7P242,Delivery of rehabilitation for stroke,Cerebrovascular disease
G600.,Ruptured berry aneurysm,Cerebrovascular disease
G602.,Subarachnoid haemorrhage from middle cerebral artery,Cerebrovascular disease
G6y..,Other specified cerebrovascular disease,Cerebrovascular disease
G65..,Transient cerebral ischaemia,Cerebrovascular disease
G66..,Stroke and cerebrovascular accident unspecified,Cerebrovascular disease
4389,CEREBROVASCULAR DISEASE,Cerebrovascular disease
G662.,Posterior cerebral artery syndrome,Cerebrovascular disease
Gyu63,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Cerebrovascular disease
7A203,Endarterectomy and patch repair of carotid artery,Cerebrovascular disease
G633.,Multiple and bilateral precerebral arterial occlusion,Cerebrovascular disease
G63..,Infarction - precerebral,Cerebrovascular disease
38G3.,"Hyperten, abnorm renal/liver funct, stroke, BLED score",Cerebrovascular disease
661M7,Stroke self-management plan agreed,Cerebrovascular disease
G650.,Insufficiency - basilar artery,Cerebrovascular disease
G663.,Brain stem stroke syndrome,Cerebrovascular disease
ZV125,[V]Personal history of cerebrovascular accident (CVA),Cerebrovascular disease
L440.,Stroke in the puerperium,Cerebrovascular disease
G631.,"Stenosis, carotid artery",Cerebrovascular disease
9h22.,Excepted from stroke quality indicators: Informed dissent,Cerebrovascular disease
G6710,Acute cerebrovascular insufficiency NOS,Cerebrovascular disease
G61z.,Intracerebral haemorrhage NOS,Cerebrovascular disease
G616.,External capsule haemorrhage,Cerebrovascular disease
8IEC.,Ref multidisciplinary stroke function improvement declined,Cerebrovascular disease
Gyu67,[X]Other specified cerebrovascular diseases,Cerebrovascular disease
7A204,Endarterectomy of carotid artery NEC,Cerebrovascular disease
1477,H/O: cerebrovascular disease,Cerebrovascular disease
G657.,Carotid territory transient ischaemic attack,Cerebrovascular disease
Gyu64,[X]Other cerebral infarction,Cerebrovascular disease
G66..,Stroke unspecified,Cerebrovascular disease
Gyu6G,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Cerebrovascular disease
G656.,Vertebrobasilar insufficiency,Cerebrovascular disease
G6400,Cerebral infarction due to thrombosis of cerebral arteries,Cerebrovascular disease
G65y.,Other transient cerebral ischaemia,Cerebrovascular disease
G632.,Vertebral artery occlusion,Cerebrovascular disease
662e.,Stroke annual review,Cerebrovascular disease
9h21.,Excepted from stroke quality indicators: Patient unsuitable,Cerebrovascular disease
G631.,Carotid artery occlusion,Cerebrovascular disease
G70y0,Carotid artery disease,Cerebrovascular disease
9h2..,Exception reporting: stroke quality indicators,Cerebrovascular disease
662M1,Stroke 6 month review,Cerebrovascular disease
G6772,Occlusion and stenosis of posterior cerebral artery,Cerebrovascular disease
G677.,Occlusion/stenosis cerebral arts not result cerebral infarct,Cerebrovascular disease
G64z1,Lateral medullary syndrome,Cerebrovascular disease
G651.,Vertebral artery syndrome,Cerebrovascular disease
E0314,"Subacute confusional state, of cerebrovascular origin",Cerebrovascular disease
G682.,Sequelae of other nontraumatic intracranial haemorrhage,Cerebrovascular disease
9Om0.,Stroke/transient ischaemic attack monitoring first letter,Cerebrovascular disease
662o.,Haemorrhagic stroke monitoring,Cerebrovascular disease
G60..,Subarachnoid haemorrhage,Cerebrovascular disease
4319C,HAEMORRHAGE INTRACRANIAL,Cerebrovascular disease
G605.,Subarachnoid haemorrhage from basilar artery,Cerebrovascular disease
8Hd6.,Admission to stroke unit,Cerebrovascular disease
G618.,"Intracerebral haemorrhage, multiple localized",Cerebrovascular disease
G63..,Stenosis of precerebral arteries,Cerebrovascular disease
Gyu66,[X]Occlusion and stenosis of other cerebral arteries,Cerebrovascular disease
L4400,Puerperal cerebrovascular disorder unspecified,Cerebrovascular disease
G64..,Infarction - cerebral,Cerebrovascular disease
G65z1,Intermittent cerebral ischaemia,Cerebrovascular disease
G6770,Occlusion and stenosis of middle cerebral artery,Cerebrovascular disease
G668.,Right sided CVA,Cerebrovascular disease
G61..,Stroke due to intracerebral haemorrhage,Cerebrovascular disease
ZV125,[V]Personal history of stroke,Cerebrovascular disease
S620.,Closed traumatic subarachnoid haemorrhage,Cerebrovascular disease
G61..,CVA - cerebrovascular accid due to intracerebral haemorrhage,Cerebrovascular disease
L4403,Puerperal cerebrovascular disorder with antenatal comp,Cerebrovascular disease
G62z.,Intracranial haemorrhage NOS,Cerebrovascular disease
G681.,Sequelae of intracerebral haemorrhage,Cerebrovascular disease
L4401,Puerperal cerebrovascular disorder - delivered,Cerebrovascular disease
G654.,Multiple and bilateral precerebral artery syndromes,Cerebrovascular disease
8520A,HAEMORRHAGE SUBARACHNOID TRAUMATIC,Cerebrovascular disease
S621.,Open traumatic subarachnoid haemorrhage,Cerebrovascular disease
P7y0z,Cerebrovascular system anomaly NOS,Cerebrovascular disease
G61X1,"Right sided intracerebral haemorrhage, unspecified",Cerebrovascular disease
G619.,Lobar cerebral haemorrhage,Cerebrovascular disease
G610.,Cortical haemorrhage,Cerebrovascular disease
S627.,Traumatic subarachnoid haemorrhage,Cerebrovascular disease
Q4170,Intracerebral (nontraumatic) haemorrhage of fet and newborn,Cerebrovascular disease
G64z4,Infarction of basal ganglia,Cerebrovascular disease
G6...,Cerebrovascular disease,Cerebrovascular disease
G68W.,Sequelae/other + unspecified cerebrovascular diseases,Cerebrovascular disease
G64..,Cerebral arterial occlusion,Cerebrovascular disease
4369B,STROKE,Cerebrovascular disease
G65zz,Transient cerebral ischaemia NOS,Cerebrovascular disease
G64z.,Brainstem infarction NOS,Cerebrovascular disease
F124.,Vascular parkinsonism,Cerebrovascular disease
4319C,HAEMORRHAGE INTRACEREBRAL,Cerebrovascular disease
662e.,Stroke/CVA annual review,Cerebrovascular disease
G664.,Cerebellar stroke syndrome,Cerebrovascular disease
G67..,Other cerebrovascular disease,Cerebrovascular disease
G67y.,Other cerebrovascular disease OS,Cerebrovascular disease
S63z.,Other cerebral haemorrhage following injury NOS,Cerebrovascular disease
4380,CEREBROVASCULAR DISEASE WITH HYPERTENSIO,Cerebrovascular disease
G6774,Occlusion+stenosis of multiple and bilat cerebral arteries,Cerebrovascular disease
G63y.,Other precerebral artery occlusion,Cerebrovascular disease
G615.,Bulbar haemorrhage,Cerebrovascular disease
14A7.,H/O: stroke,Cerebrovascular disease
G604.,Subarachnoid haemorrhage from posterior communicating artery,Cerebrovascular disease
G63y1,Cerebral infarction due to embolism of precerebral arteries,Cerebrovascular disease
G601.,Subarachnoid haemorrhage from carotid siphon and bifurcation,Cerebrovascular disease
G63z.,Precerebral artery occlusion NOS,Cerebrovascular disease
G606.,Subarachnoid haemorrhage from vertebral artery,Cerebrovascular disease
P7y0y,Other specified cerebrovascular anomaly,Cerebrovascular disease
G603.,Subarachnoid haemorrhage from anterior communicating artery,Cerebrovascular disease
G640.,Cerebral thrombosis,Cerebrovascular disease
G666.,Pure sensory lacunar syndrome,Cerebrovascular disease
4309,SUBARACHNOID HAEMORRHAGE,Cerebrovascular disease
14AK.,H/O: Stroke in last year,Cerebrovascular disease
G671z,Generalised ischaemic cerebrovascular disease NOS,Cerebrovascular disease
G650.,Basilar artery syndrome,Cerebrovascular disease
4310,HAEMORRHAGE INTRACEREBRAL WITH HYPERTENS,Cerebrovascular disease
G6771,Occlusion and stenosis of anterior cerebral artery,Cerebrovascular disease
G641.,Cerebral embolism,Cerebrovascular disease
G623.,Subdural haemorrhage NOS,Cerebrovascular disease
G64z.,Cerebral infarction NOS,Cerebrovascular disease
4300,SUBARACHNOID HAEMORRHAGE WITH HYPERTENSI,Cerebrovascular disease
70043,Evacuation of intracerebral haematoma NEC,Cerebrovascular disease
1477,H/O: cerebrovascular disease,Cerebrovascular disease
G61X.,"Intracerebral haemorrhage in hemisphere, unspecified",Cerebrovascular disease
Gyu6F,"[X]Intracerebral haemorrhage in hemisphere, unspecified",Cerebrovascular disease
G630.,Basilar artery occlusion,Cerebrovascular disease
Gyu60,[X]Subarachnoid haemorrhage from other intracranial arteries,Cerebrovascular disease
4350,TRANSIENT CEREBRAL ISCHAEMIA WITH HYPERT,Cerebrovascular disease
G679.,Small vessel cerebrovascular disease,Cerebrovascular disease
G64..,Stroke due to cerebral arterial occlusion,Cerebrovascular disease
P7y0.,Cerebrovascular system anomalies,Cerebrovascular disease
G60z.,Subarachnoid haemorrhage NOS,Cerebrovascular disease
G68..,Late effects of cerebrovascular disease,Cerebrovascular disease
G617.,"Intracerebral haemorrhage, intraventricular",Cerebrovascular disease
G6W..,Cereb infarct due unsp occlus/stenos precerebr arteries,Cerebrovascular disease
Fyu57,[X]Other vascular syndroms/brain in cerebrovasculr diseases,Cerebrovascular disease
G65..,Vertebro-basilar insufficiency,Cerebrovascular disease
L440.,CVA - cerebrovascular accident in the puerperium,Cerebrovascular disease
Q2000,Intracerebral haemorrhage in fetus or newborn,Cerebrovascular disease
8HBJ.,Stroke / transient ischaemic attack referral,Cerebrovascular disease
G64z2,Left sided cerebral infarction,Cerebrovascular disease
G64..,CVA - cerebral artery occlusion,Cerebrovascular disease
13YA.,Stroke group member,Cerebrovascular disease
G64z0,Brainstem infarction,Cerebrovascular disease
G65..,Transient ischaemic attack,Cerebrovascular disease
G634.,Carotid artery stenosis,Cerebrovascular disease
S628.,Traumatic subdural haemorrhage,Cerebrovascular disease
Gyu6.,[X]Cerebrovascular diseases,Cerebrovascular disease
G6510,Vertebro-basilar artery syndrome,Cerebrovascular disease
Gyu6D,[X]Sequelae/other  unspecified cerebrovascular diseases,Cerebrovascular disease
G65z.,Transient cerebral ischaemia NOS,Cerebrovascular disease
G66..,CVA - Cerebrovascular accident unspecified,Cerebrovascular disease
5C10.,Carotid artery doppler abnormal,Cerebrovascular disease
9Om1.,Stroke/transient ischaemic attack monitoring second letter,Cerebrovascular disease
G641.,Cerebral embolus,Cerebrovascular disease
G64z3,Right sided cerebral infarction,Cerebrovascular disease
G613.,Cerebellar haemorrhage,Cerebrovascular disease
G653.,Carotid artery syndrome hemispheric,Cerebrovascular disease
G580.,Biventricular failure,Congestive heart failure
Q490.,Neonatal cardiac failure,Congestive heart failure
G580.,Congestive heart failure,Congestive heart failure
9Or1.,Heart failure monitoring telephone invite,Congestive heart failure
7824F,HEART FAILURE,Congestive heart failure
7824B,WEAK HEART,Congestive heart failure
G2111,Benign hypertensive heart disease with CCF,Congestive heart failure
8HBE.,Heart failure follow-up,Congestive heart failure
J6157,Cardiac portal cirrhosis,Congestive heart failure
SP112,Cardiorespiratory failure as a complication of care,Congestive heart failure
8Hk0.,Referred to heart failure education group,Congestive heart failure
679W1,Education about deteriorating heart failure,Congestive heart failure
G5y4z,Post cardiac operation heart failure NOS,Congestive heart failure
G58z.,Cardiac failure NOS,Congestive heart failure
388D.,New York Heart Assoc classification heart failure symptoms,Congestive heart failure
G583.,Heart failure with normal ejection fraction,Congestive heart failure
662f.,New York Heart Association classification - class I,Congestive heart failure
G5802,Decompensated cardiac failure,Congestive heart failure
G583.,HFNEF - heart failure with normal ejection fraction,Congestive heart failure
679X.,Heart failure education,Congestive heart failure
4271H,HEART FAILURE LEFT-SIDED,Congestive heart failure
662p.,Heart failure 6 month review,Congestive heart failure
9N4s.,Did not attend practice nurse heart failure clinic,Congestive heart failure
4270R,HEART FAILURE RIGHT-SIDED,Congestive heart failure
4270C,CONGESTIVE CARDIAC FAILURE,Congestive heart failure
G21z1,Hypertensive heart disease NOS with CCF,Congestive heart failure
G581.,Asthma - cardiac,Congestive heart failure
8HTL.,Referral to heart failure clinic,Congestive heart failure
9N0k.,Seen in heart failure clinic,Congestive heart failure
662i.,New York Heart Association classification - class IV,Congestive heart failure
9hH..,Exception reporting: heart failure quality indicators,Congestive heart failure
425 C,CONGESTIVE CARDIOMYOPATHY,Congestive heart failure
8HgD.,Discharge from heart failure nurse service,Congestive heart failure
8CMW8,Heart failure clinical pathway,Congestive heart failure
4271A,LEFT VENTRICULAR FAILURE ACUTE,Congestive heart failure
G5810,Acute left ventricular failure,Congestive heart failure
G5yyA,Left ventricular diastolic dysfunction,Congestive heart failure
8CeC.,Preferred place of care for next exacerbation heart failure,Congestive heart failure
G234.,Hyperten heart&renal dis+both(congestv)heart and renal fail,Congestive heart failure
14A6.,H/O: heart failure,Congestive heart failure
SP111,Cardiac insufficiency as a complication of care,Congestive heart failure
67D4.,Heart failure information given to patient,Congestive heart failure
G5804,Congestive heart failure due to valvular disease,Congestive heart failure
9Or..,Heart failure monitoring administration,Congestive heart failure
G581.,Impaired left ventricular function,Congestive heart failure
4271,LVF (LEFT VENTRICULAR FAILURE),Congestive heart failure
8CMK.,Has heart failure management plan,Congestive heart failure
8HHb.,Referral to heart failure nurse,Congestive heart failure
9Or3.,Heart failure monitoring first letter,Congestive heart failure
G58z.,Heart failure NOS,Congestive heart failure
G5800,Acute congestive heart failure,Congestive heart failure
9m5..,High risk of heart failure screening invitation,Congestive heart failure
4270,CONGESTIVE HEART FAILURE,Congestive heart failure
9hH1.,Excepted heart failure quality indicators: Informed dissent,Congestive heart failure
8B29.,Cardiac failure therapy,Congestive heart failure
SP111,Heart failure as a complication of care,Congestive heart failure
G5803,Compensated cardiac failure,Congestive heart failure
8IE1.,Referral to heart failure exercise programme declined,Congestive heart failure
9N6T.,Referred by heart failure nurse specialist,Congestive heart failure
4271B,CARDIAC ASTHMA,Congestive heart failure
662T.,Congestive heart failure monitoring,Congestive heart failure
R2y10,[D]Cardiorespiratory failure,Congestive heart failure
4270C,CONGESTIVE HEART FAILURE COMPENSATED,Congestive heart failure
9N2p.,Seen by community heart failure nurse,Congestive heart failure
8H2S.,Admit heart failure emergency,Congestive heart failure
G583.,Heart failure with preserved ejection fraction,Congestive heart failure
7824F,MYOCARDIAL FAILURE,Congestive heart failure
G5540,Congestive cardiomyopathy,Congestive heart failure
G580.,Congestive cardiac failure,Congestive heart failure
9Or0.,Heart failure review completed,Congestive heart failure
G582.,Acute heart failure,Congestive heart failure
9hH0.,Excepted heart failure quality indicators: Patient unsuitabl,Congestive heart failure
G58z.,Weak heart,Congestive heart failure
585k.,Echocardiogram shows normal left ventricular function,Congestive heart failure
Q48y1,Congenital cardiac failure,Congestive heart failure
G58..,Cardiac failure,Congestive heart failure
G5yyC,Diastolic dysfunction,Congestive heart failure
8IE0.,Referral to heart failure education group declined,Congestive heart failure
G581.,Pulmonary oedema - acute,Congestive heart failure
ZRad.,New York Heart Assoc classification heart failure symptoms,Congestive heart failure
9Or4.,Heart failure monitoring second letter,Congestive heart failure
G580.,Right ventricular failure,Congestive heart failure
G5801,Chronic congestive heart failure,Congestive heart failure
14AM.,H/O: Heart failure in last year,Congestive heart failure
8HTL0,Referral to rapid access heart failure clinic,Congestive heart failure
1O1..,Heart failure confirmed,Congestive heart failure
661M5,Heart failure self-management plan agreed,Congestive heart failure
G232.,Hypertensive heart&renal dis wth (congestive) heart failure,Congestive heart failure
G1yz1,Rheumatic left ventricular failure,Congestive heart failure
402 C,HYPERTENSION CONGESTIVE HEART FAILURE,Congestive heart failure
662g.,New York Heart Association classification - class II,Congestive heart failure
585g.,Echocardiogram shows left ventricular diastolic dysfunction,Congestive heart failure
662h.,New York Heart Association classification - class III,Congestive heart failure
8CL3.,Heart failure care plan discussed with patient,Congestive heart failure
8HHz.,Referral to heart failure exercise programme,Congestive heart failure
585f.,Echocardiogram shows left ventricular systolic dysfunction,Congestive heart failure
8Hg8.,Discharge from practice nurse heart failure clinic,Congestive heart failure
G584.,Right ventricular failure,Congestive heart failure
G2101,Malignant hypertensive heart disease with CCF,Congestive heart failure
662W.,Heart failure annual review,Congestive heart failure
4270D,CONGESTIVE HEART FAILURE DECOMPENSATED,Congestive heart failure
G580.,Right heart failure,Congestive heart failure
9Or5.,Heart failure monitoring third letter,Congestive heart failure
G58..,Heart failure,Congestive heart failure
G5yy9,Left ventricular systolic dysfunction,Congestive heart failure
G5yyB,Right ventricular diastolic dysfunction,Congestive heart failure
9Or2.,Heart failure monitoring verbal invite,Congestive heart failure
7824A,HEART FAILURE ACUTE,Congestive heart failure
G581.,Left ventricular failure,Congestive heart failure
F111.,Pick's disease,Dementia
Eu010,[X]Vascular dementia of acute onset,Dementia
F103.,Cerebral degeneration in diseases EC,Dementia
Eu022,[X]Dementia in Huntington's disease,Dementia
E0041,Arteriosclerotic dementia with delirium,Dementia
F10..,Cerebral degenerations usually manifest in childhood,Dementia
9Ou2.,Dementia monitoring second letter,Dementia
8CMZ.,Dementia care plan,Dementia
8BPa.,Antipsychotic drug therapy for dementia,Dementia
F11xz,Cerebral degeneration other disease NOS,Dementia
E000.,Uncomplicated senile dementia,Dementia
F116.,Lewy body disease,Dementia
F11x7,Cerebral degeneration due to Jakob - Creutzfeldt disease,Dementia
Eu000,[X]Dementia in Alzheimer's disease with early onset,Dementia
e000.,Uncomplicated senile dementia,Dementia
E012.,Other alcoholic dementia,Dementia
2229,O/E - senile - old age,Dementia
E004.,Arteriosclerotic dementia,Dementia
Eu02z,[X] Presenile dementia NOS,Dementia
6AB..,Dementia annual review,Dementia
Eu107,[X]Chronic alcoholic brain syndrome,Dementia
9Ou5.,Dementia monitoring telephone invite,Dementia
E02y1,Drug-induced dementia,Dementia
9Ou4.,Dementia monitoring verbal invite,Dementia
F1100,Alzheimer's disease with early onset,Dementia
E041.,Dementia in conditions EC,Dementia
E002.,Senile dementia with depressive or paranoid features,Dementia
3AD..,Dementia test,Dementia
E001z,Presenile dementia NOS,Dementia
Eu01z,"[X]Vascular dementia, unspecified",Dementia
66h..,Dementia monitoring,Dementia
F11x9,Cerebral degeneration in Parkinson's disease,Dementia
F11x8,Cerebral degeneration due to multifocal leucoencephalopathy,Dementia
E0012,Presenile dementia with paranoia,Dementia
Eu001,[X]Dementia in Alzheimer's disease with late onset,Dementia
E00..,Senile/presenile dementia,Dementia
2901A,PRESENILE DEMENTIA,Dementia
Eu041,[X]Delirium superimposed on dementia,Dementia
9Ou3.,Dementia monitoring third letter,Dementia
Eu843,[X]Dementia infantalis,Dementia
1JA2.,Suspected dementia,Dementia
F110.,Alzheimer's disease,Dementia
F11yz,Other cerebral degeneration NOS,Dementia
E001.,Presenile dementia,Dementia
Eu025,[X]Lewy body dementia,Dementia
E004.,Multi infarct dementia,Dementia
1461,H/O: dementia,Dementia
E002z,Senile dementia with depressive or paranoid features NOS,Dementia
3A...,Dementia assessment,Dementia
9hD..,Exception reporting: dementia quality indicators,Dementia
F11z.,Cerebral degeneration NOS,Dementia
794 D,SENILE DETERIORATION,Dementia
F112.,Senile degeneration of brain,Dementia
F1101,Alzheimer's disease with late onset,Dementia
F11x4,Cerebral degeneration due to neoplastic disease,Dementia
8Hla.,Referral to dementia care advisor,Dementia
Eu001,[X]Alzheimer's disease type 1,Dementia
9Ou..,Dementia monitoring administration,Dementia
Eu01.,[X]Vascular dementia,Dementia
9hD1.,Excepted from dementia quality indicators: Informed dissent,Dementia
Eu00z,"[X]Dementia in Alzheimer's disease, unspecified",Dementia
Eu040,"[X]Delirium not superimposed on dementia, so described",Dementia
F11x.,Cerebral degeneration in other disease EC,Dementia
299 B,DEMENTIA,Dementia
2930,DEMENTIA ARTERIOSCLEROTIC,Dementia
Eu02y,[X]Dementia in other specified diseases classif elsewhere,Dementia
Eu02z,[X] Senile dementia NOS,Dementia
Eu011,[X]Multi-infarct dementia,Dementia
F1021,Cerebral degeneration in Niemann-Pick disease,Dementia
E0040,Uncomplicated arteriosclerotic dementia,Dementia
Eu001,"[X]Senile dementia,Alzheimer's type",Dementia
Eu01.,[X]Arteriosclerotic dementia,Dementia
F103z,Cerebral degeneration in disease NOS,Dementia
E0010,Uncomplicated presenile dementia,Dementia
Eu00.,[X]Dementia in Alzheimer's disease,Dementia
E012.,Alcoholic dementia NOS,Dementia
E0013,Presenile dementia with depression,Dementia
Eu020,[X]Dementia in Pick's disease,Dementia
8T05.,Referral to dementia service,Dementia
Eu02z,"[X] Senile dementia, depressed or paranoid type",Dementia
F11x6,Cerebral degeneration due to vitamin B12 deficiency,Dementia
E0120,Chronic alcoholic brain syndrome,Dementia
